,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,19,PF,1559705229,79,-23.12,-134.97,75.93,2.37
1,Bredasdorp,13,ZA,1559705075,62,-34.53,20.04,60.01,23.04
2,Terrace,75,CA,1559705297,81,54.52,-128.61,50.0,14.99
3,Castro,100,CL,1559705077,87,-42.48,-73.76,50.0,17.22
4,Mataura,44,NZ,1559705231,69,-46.19,168.86,45.69,7.38
5,Ushuaia,90,AR,1559705234,86,-54.81,-68.31,41.0,5.82
6,Ouadda,95,CF,1559705298,79,8.07,22.4,69.09,3.2
7,Cidreira,0,BR,1559705239,75,-30.17,-50.22,60.63,6.26
8,Aksu,90,KZ,1559705298,67,52.04,76.93,62.6,6.71
9,Meridian,1,US,1559705209,69,32.36,-88.7,82.4,3.36
10,Sedro-Woolley,1,US,1559705298,55,48.5,-122.23,64.0,3.36
11,Yellowknife,75,CA,1559704998,93,62.45,-114.38,48.2,4.7
12,Arica,90,CL,1559705298,68,-18.48,-70.32,64.4,2.24
13,San Patricio,0,PY,1559705050,92,-26.98,-56.83,52.89,5.17
14,Urdoma,96,RU,1559705299,87,61.74,48.55,50.37,7.09
15,Saskylakh,0,RU,1559705231,44,71.97,114.09,51.27,14.97
16,Matara,2,PE,1559705299,87,-13.74,-72.9,32.01,2.24
17,Cherskiy,0,RU,1559705299,38,68.75,161.3,42.99,16.35
18,Lebu,76,ET,1559705233,82,8.96,38.73,55.4,2.24
19,Busselton,84,AU,1559705234,24,-33.64,115.35,66.99,34.0
20,Alyangula,100,AU,1559705299,56,-13.85,136.42,69.8,10.29
21,Hithadhoo,100,MV,1559705299,73,-0.6,73.08,85.11,11.95
22,Dvinskoy,100,RU,1559705300,95,62.16,45.12,53.07,5.35
23,Hermanus,60,ZA,1559705236,70,-34.42,19.24,60.01,18.99
24,Kamenka,0,RU,1559705300,57,53.19,44.05,59.0,2.08
25,Ixtapa,90,MX,1559705300,78,20.71,-105.21,75.2,2.24
26,Bambanglipuro,100,ID,1559705300,77,-7.95,110.28,81.33,8.39
